Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
Liquor,Grapfruit Basil'tini,,,15,36,540,15,525,
Liquor,Planteray Cut & Dry,,,18,1,18,0,18,
Liquor,BACARDI WHITE,,,11.333333333333334,7,77,13,64,
Liquor,MONTENEGRO AMARO,,,8,5,40,20,20,
Liquor,Vesper,,,19,7,133,0,133,
Liquor,GREY GOOSE,,,14.041666666666666,25,348,0,348,
Liquor,CASAMIGOS ANEJO,,,18.5,3,57,8.5,48.5,
Liquor,JACK DANIELS,,,9,7,63,0,63,
Liquor,Montenegro NY Sour,,,14,1,14,7,7,
Liquor,House old Fashioned,,,14,74,1036,42,994,
Liquor,Aperol Spritz,,,13,11,143,0,143,
Liquor,MAKERS MARK,,,10.357142857142858,19,195,0,195,
Liquor,904 Collins,,,14,12,168,0,168,
Liquor,HENNESSY VS,,,11,1,11,0,11,
Liquor,MILAGRO REPO,,,13.222222222222221,17,226,60,166,
Liquor,GRAND MARNIER,,,10,3,30,0,30,
Liquor,400 CONEJOS MEZCAL,,,14.333333333333334,5,74,0,74,
Liquor,Espresso Martini,,,16.0865889212828,173,2792,56,2736,
Liquor,BELVEDERE,,,11,1,11,0,11,
Liquor,MILAGRO SLVR,,,10.75,9,108,9,99,
Liquor,JAMESON IRISH,,,13.333333333333334,4,50,0,50,
Liquor,Don Fulano Repo,,,23,2,46,0,46,
Liquor,CAMPARI APERITIVO,,,10.625,9,96,15,81,
Liquor,Chivas Regal,,,13,1,13,0,13,
Liquor,BAILEYS,,,9,11,99,0,99,
Liquor,Paper Plane,,,15,15,225,0,225,
Liquor,Lavender Gimlet,,,14,19,266,14,252,
Liquor,JEFFERSON OCEAN,,,30,1,30,0,30,
Liquor,Atlantic Spritz,,,13,6,78,26,52,
Liquor,Bellini,,,13,10,130,0,130,
Liquor,Michter's Rye,,,17.5,2,35,0,35,
Liquor,CASAMIGOS BLNC,,,14.9,7,104,0,104,
Liquor,FLOR DE CANA 4YR,,,13,2,26,0,26,
Liquor,CASAMIGOS REPO,,,20.25,10,198,0,198,
Liquor,Spritz on the beach,,,14,7,98,0,98,
Liquor,Buffalo Trace,,,11.75,8,91,0,91,
Liquor,Captain Morgan,,,9,4,36,0,36,
Liquor,Hugo spritz,,,14,3,42,0,42,
Liquor,ANGELS ENVY RYE,,,28,1,28,0,28,
Liquor,Don Fulano Blanco,,,14,2,28,0,28,
