Sales Category,Item Name,Modifier,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
Food,Affogato,,10,5,50,0,50
Food,Shrimp Skewers,,29,23,667,87,580
Food,Giardiniera,,5.142857142857143,13,66,2.5,63.5
Food,Mashed Potatoes,,8.571428571428571,16,139,17,122
Food,Kids Pasta,,12.278571428571428,36,448,24,424
Food,Gelato Special,,12.335002335002335,7,84,12,72
Food,Burratina,,18.44212962962963,51,932.5,54,878.5
Food,Pasta,,26.10595238095238,19,537,10,527
Food,Grande Selezione,,34,9,306,0,306
Food,Pecorino Toscano,,13.998283317719078,17.000002,237.98,14,223.98
Food,SOUP,,12,12,144,6,138
Food,Gorgonzola,,14,7,98,0,98
Food,Lasagna del Salumiere,,27.785714285714285,98,2238,77,2161
Food,Tagliatelle Bolognese,,20.433566433566433,125,2522,10,2512
Food,Spaghetti Alla Bottarga,,28.142857142857142,12,337,14,323
Food,Calamari,,18.999866325759182,94.999999,1804.99,114,1690.99
Food,Tagliolini Winter Truffle,,48.95,27,1334.5,0,1334.5
Food,Percorino al Tartufo,,13.998844540772456,28.000002,391.98,28,363.98
Food,Angelo's Meatballs,,18.357142122450448,129.000002,2326,81,2245
Food,Special BOARD,,25,7,175,0,175
Food,Tagliolini al Limone,,28.257142857142856,118,3316,70,3246
Food,Cheese Selection,,29,20,580,0,580
Food,Piovra,,20,36,720,20,700
Food,Trio di Prosciutti,,28.125,15,421,28,393
Food,Filet Mignon,,53.421875,27,1448.5,104,1344.5
Food,Bresaola,,14,6,84,28,56
Food,Coppa Dolce,,12,5,60,6,54
Food,Speck,,12,3,36,12,24
Food,Prosciutto San Daniele,,14.142857142857142,8,112,0,112
Food,Vitello Tonnato,,20,16,320,10,310
Food,Lamb Chop,,42.266666666666666,14,592,84,508
Food,Pork Milanese,,32.22222222222222,42,1347,32,1315
Food,Dessert Trio,,26.002506502506503,8.999999,234.01,52,182.01
Food,Kids Ice cream,,4,4,16,0,16
Food,Corvina and Fregola,,38,11,418,76,342
Food,Gelato Famiglia,,22,2,44,0,44
Food,Parmigiano,,14,7,98,0,98
Food,Verde del Contadino,,9.375,11,102,0,102
Food,Mixed Exotic Mushroom,,8.2,7,57,0,57
Food,NORMA,,28,24,672,14,658
Food,Grissini Side,,6,2,12,0,12
Food,Fingerling Potatoes,,8,9,72,8,64
Food,Prosciutto Cotto,,11,2,22,0,22
Food,Green Beans,,8.333333333333334,5,41,0,41
Food,Salame Nostrano,,12,2,24,12,12
Food,CANNOLI,,12,6,72,18,54
Food,Brie,,14,4,56,0,56
Food,Kids Milanese,,16,4,64,8,56
Food,Pesto e Pistacchio,,28,11,308,42,266
Food,Red wine special,,84,2,168,42,126
Food,Taleggio,,14,3,42,14,28
Food,Cake Fee,,3.00666867333534,1,3,3,0
Food,Side Jam,,3,1,3,0,3
Food,Mortadella,,11,1,11,0,11
Food,Kids Branzino,,16,1,16,0,16
Food,Limonata San Pellegrino,,4.5,1,4.5,0,4.5
Food,BUCATINI,,30,4,120,0,120
Liquor,Liquor Total,,13.79,1323,18249,890,17359
Liquor,Blood Orange Mule,,13,21,273,13,260
Liquor,Smoky 'n' Hot,,13,16,208,13,195
Liquor,TITOS,,9.5,74,698,54,644
Liquor,Angelo Spritz,,14,24,336,14,322
Liquor,BASIL HAYDENS,,16,5,80,0,80
Liquor,MILAGRO SLVR,,11.373333333333333,14,160,9,151
Liquor,First Coast Martini,,14,33,462,0,462
Liquor,BEEFEATER,,10,19,190,20,170
Liquor,LIMONCELLO,,8.9,36,300,0,300
Liquor,Boulevardier,,13,7,91,13,78
Liquor,Don Fulano Repo,,20.98095238095238,19,376,11.5,364.5
Liquor,NEGRONI,,12.811904761904762,46,588,117,471
Liquor,MARTINI,,14.889101113076109,225,3360,221,3139
Liquor,Buffalo Trace,,11,4,44,0,44
Liquor,Hugo spritz,,14,5,70,0,70
Liquor,Grapfruit Basil'tini,,15,22,330,7.5,322.5
Liquor,Paper Plane,,15,19,285,15,270
Liquor,Lavender Gimlet,,14,22,308,14,294
Liquor,DISARONNO AMARETTO,,11.666666666666666,5,61,0,61
Liquor,BACARDI WHITE,,10.333333333333334,4,40,0,40
Liquor,Vesper,,19,9,171,19,152
Liquor,MONTENEGRO AMARO,,8,13,104,36,68
Liquor,GREY GOOSE,,13.303333333333333,26,343,0,343
Liquor,WOODFORD RSV,,12.666666666666666,4,48,20,28
Liquor,JACK DANIELS,,9,8,72,0,72
Liquor,HENDRICKS,,12.45,16,200,0,200
Liquor,Montenegro NY Sour,,14,10,140,7,133
Liquor,House old Fashioned,,14,107,1498,56,1442
Liquor,Aperol Spritz,,13,34,442,0,442
Liquor,MAKERS MARK,,10.392857142857142,27,284,10,274
Liquor,Tequila Smokey 'n' Hot,,13,4,52,0,52
Liquor,El Guapo,,13,8,104,0,104
Liquor,904 Collins,,14,26,364,0,364
Liquor,JIM BEAM,,9,2,18,0,18
Liquor,MILAGRO REPO,,12.23611111111111,32,398,45,353
Liquor,Bellini,,13,17,221,0,221
Liquor,Espresso Martini,,16.137623114463178,236,3824,43,3781
Liquor,Michter's Rye,,19,7,130,0,130
Liquor,CASAMIGOS BLNC,,13.75,8,111,0,111
Liquor,FLOR DE CANA 4YR,,13,2,26,0,26
Liquor,JAMESON IRISH,,10.285714285714286,15,156,0,156
Liquor,PATRON SILVER,,13,5,66,0,66
Liquor,Spritz on the beach,,14,4,56,0,56
Liquor,ANGELS ENVY RYE,,29,5,146,0,146
Liquor,REDEMPTION RYE,,13,4,52,0,52
Liquor,BORGHETTI,,8,1,8,4,4
Liquor,NONINO GRAPPA MOSCATO,,12,2,24,0,24
Liquor,BAILEYS,,9,2,18,0,18
Liquor,WHISTLEPIG RYE 10 Yr,,25,2,50,0,50
Liquor,Don Fulano Blanco,,17,4,68,8.5,59.5
Liquor,SAMBUCA,,9,13,117,0,117
Liquor,CAMPARI APERITIVO,,10.5,5,57,48,9
Liquor,KETEL ONE,,10.777777777777779,10,114,10,104
Liquor,FOUR ROSES YELLOW BBN,,9,1,9,0,9
Liquor,BOMBAY Dry,,9,1,9,0,9
Liquor,CROWN ROYAL,,13.5,2,27,0,27
Liquor,Laphroaig,,20,1,20,0,20
Liquor,CASAMIGOS REPO,,16.333333333333332,9,147,56,91
Liquor,Dry Daquiri,,14,3,42,0,42
Liquor,SKYY,,9,4,36,0,36
Liquor,WOODFORD DBL OAK,,15,2,30,0,30
Liquor,Planteray Cut & Dry,,12.5,2,25,5.5,19.5
Liquor,Atlantic Spritz,,13,3,39,0,39
Liquor,Don Fulano Anejo,,25,1,25,0,25
Liquor,DEWARS,,12,1,12,0,12
Liquor,MACALLAN 12,,18,2,36,0,36
Liquor,ANGELS ENVY,,17,2,34,0,34
Liquor,400 CONEJOS MEZCAL,,16,1,16,0,16
Wine,Wine Total,,24.54,522.000005,12808.060000000001,2034,10774.060000000001
Wine,Btl Morellino Scansano Pupille,,52,4,208,0,208
Wine,Gls Sauv Blanc F.Sardi,,15,24,360,0,360
Wine,Gls Falanghina-Terredora,,13,11,143,0,143
Wine,Gls Valpolicella-Zenato,,14,14,196,0,196
Wine,Gls Cab Sauv-Bull by the Horns,,15,28,420,0,420
Wine,Glass Baby Amarone-Masi,,17,8,136,0,136
Wine,Gls Chardonnay-Cutter,,15,28,420,0,420
Wine,Gls Mosole Tai,,13,8,104,26,78
Wine,Gls Nebbiolo-Prunotto,,18,11,198,0,198
Wine,Btl Chianti Clas Rsv Lamole,,78.000039000039,3.999999,312,117,195
Wine,Sample,,0,32,0,0,0
Wine,Btl Etna Rosso Terrazze,,68,5,340,102,238
Wine,Btl Pinot Noir Oregon,,58,4,232,29,203
Wine,Btl Baby Amarone-Masi,,66,8,528,132,396
Wine,Gls Pinot Noir Oregon T.,,15,25,375,15,360
Wine,Gls Vermentino-Argiolas,,13,21,273,45.5,227.5
Wine,Btl Barolo-Prunotto,,156,2,312,78,234
Wine,Gls Prosecco-Cin Cin,,12,42,504,252,252
Wine,Btl Super Tuscan-Antinori,,60,12,720,0,720
Wine,Gls Rose-Fattoria Sardi,,14,16,224,0,224
Wine,Btl Chianti Clas Peppoli,,58,4,232,116,116
Wine,Gls Chianti Clas Peppoli,,15,16,240,0,240
Wine,Gls Pinot Grigio-Zenato,,13,32,416,0,416
Wine,Btl Cab Sauv Bull by the Horns,,58,7,406,58,348
Wine,Btl Vermentino Argiolas,,52.00497399005202,8.000004,416.04,104,312.04
Wine,Gls Montepulciano Fantini,,13,11,143,0,143
Wine,Btl Sauv Blanc F.Sardi,,60,1,60,0,60
Wine,Gls Super Tuscan Villa Antinori,,16,39,624,0,624
Wine,Gls Gavi-Villa Sparina,,15,9,135,0,135
Wine,Btl Prosecco- Cin Cin,,42,2,84,0,84
Wine,Gls Moscato-Marenco,,14,12,168,0,168
Wine,Btl Pinot Grigio Zenato,,42,5,210,21,189
Wine,HH Pinot Grigio,,5,2,10,0,10
Wine,Gls Morellino Pupille,,15,4,60,15,45
Wine,CORK FEE,,35,9,315,0,315
Wine,Btl Chianti Macie RSV,,72,5,360,108,252
Wine,Btl Negroamaro San Marzano,,82,2,164,0,164
Wine,Btl Cab Sauv Caymus,,234,1,234,117,117
Wine,Btl Valpolicella Zenato,,54,4,216,54,162
Wine,Btl Pecorino- D'aligi,,52.006631986736025,3.000002,156.02,26,130.02
Wine,Btl Veuve Clicquot,,100,1,100,50,50
Wine,Btl Montepulciano Fantini,,49,3,147,73.5,73.5
Wine,Btl Toscana Bianco Poggio,,56,1,56,28,28
Wine,Btl Nebbiolo-Prunotto,,74,6,444,148,296
Wine,Btl Pinot Noir-Belle Glos,,78,4,312,156,156
Wine,Btl Falanghina Terredora,,48,1,48,24,24
Wine,Btl Franciacorta Ca del Bosco,,86,1,86,43,43
Wine,Gls Pecorino-Zite,,13,6,78,0,78
Wine,Btl Rose Whispering Angel,,60,1,60,30,30
Wine,Btl Chard Paltis,,96,1,96,0,96
Wine,Gls Syltbar Rose,,14,3,42,0,42
Wine,Btl Le Volte-Ornellaia,,84,1,84,0,84
Wine,Btl Nebbiolo No Name,,128,1,128,0,128
Wine,Gls Primitivo San Marzano,,13,2,26,0,26
Wine,Btl Lugana Fornaci,,54,1,54,54,0
Wine,Btl Mosole Tai,,48,1,48,0,48
Wine,Btl Ripassa-Zenato,,78,1,78,0,78
Wine,vin santo antinori,,12,1,12,12,0
Wine,Btl Cab Sauv Bella Union,,115,1,115,0,115
Wine,Btl Cannonau Santadi,,70,2,140,0,140
NA Beverage,NA Beverage Total,,5.69,253,1439.5,73,1366.5
NA Beverage,Mocktail,,8,11,88,0,88
NA Beverage,Panna,,7,42,294,14,280
NA Beverage,Shirley Temple,,5.5,10,55,0,55
NA Beverage,San Pellegrino,,7,56,392,24.5,367.5
NA Beverage,Coke (can),,4.5,27,121.5,18,103.5
NA Beverage,Fresh Lemonade,,5,15,75,7.5,67.5
NA Beverage,Ice tea,,4.5,28,126,4.5,121.5
NA Beverage,Diet Coke (can),,4.5,26,117,4.5,112.5
NA Beverage,Sprite (can),,4.5,18,81,0,81
NA Beverage,Ginger Beer,,4.5,3,13.5,0,13.5
NA Beverage,Ginger Ale,,4.5,4,18,0,18
NA Beverage,Club Soda,,4.5,6,27,0,27
NA Beverage,Cranberry Juice,,4.5,7,31.5,0,31.5
NA Beverage,orange juice,,4.5,0,0,0,0
Food: Deli To Go (No Tax),Food: Deli To Go (No Tax) Total,,26.53,14.3,379.4,0,379.4
Food: Deli To Go (No Tax),Burrata,,8,1,8,0,8
Food: Deli To Go (No Tax),DELI Castelvetrano,,18,2,36,0,36
Food: Deli To Go (No Tax),DELI Pecorino tuscana,,28,0.3,8.4,0,8.4
Food: Deli To Go (No Tax),DELI Prosciutto Parma,,28,2.75,77,0,77
Food: Deli To Go (No Tax),DELI Mortadella,,16,2,32,0,32
Food: Deli To Go (No Tax),DELI Salame Nostrano,,32,1,32,0,32
Food: Deli To Go (No Tax),Galletti Cookies,,6,1,6,0,6
Food: Deli To Go (No Tax),Lasagna Tray 10 ppl,,85,1,85,0,85
Food: Deli To Go (No Tax),DELI Pecorino Tartufo,,30,2,60,0,60
Food: Deli To Go (No Tax),DELI Coppa Dolce,,28,1.25,35,0,35
No Sales Category,No Sales Category Total,,0,200,0,0,0
No Sales Category,**HOLD FOR FIRE**,,0,22,0,0,0
No Sales Category,**FIRE**,,0,74,0,0,0
No Sales Category,FIRE Third Course,,0,3,0,0,0
No Sales Category,FIRE Second Course,,0,100,0,0,0
No Sales Category,_____________,,0,1,0,0,0
Beer,Beer Total,,7.19,213,1531,187.5,1343.5
Beer,GRN Room choc Porter,,8,2,16,0,16
Beer,Raging Blonde,,8,39,312,0,312
Beer,HH Manabrea,,4,24,96,68,28
Beer,High Head GRN Room,,8,11,88,0,88
Beer,Menabrea,,7,102,714,91,623
Beer,Southern Swells,,9,30,270,18,252
Beer,NA Peroni,,7,5,35,10.5,24.5
Coffee,Coffee Total,,4.17,32,133.5,23,110.5
Coffee,Espresso,,4,12,48,0,48
Coffee,Americano,,3,8,24,0,24
Coffee,Milk Glass,,3,1,3,0,3
Coffee,Cappuccino,,6,4,24,12,12
Coffee,Hot tea,,3.5,1,3.5,0,3.5
Coffee,DBL Espresso,,5,5,25,5,20
Coffee,Latte,,6,1,6,6,0
Retail,Retail Total,,28.2,10,282,0,282
Retail,MULINO BIANCO,,6,1,6,0,6
Retail,Pan Di Stelle,,6,1,6,0,6
Retail,COFFEE BAG 1KG,,45,1,45,0,45
Retail,Aceto Balsamico,,9,1,9,0,9
Retail,Pandoro Classico,,36,6,216,0,216
