Sales Category,Item Name,Modifier,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
Food,Food Total,,22.2,2453.000008,54465.94,2717.25,51748.69
Food,Classic Caesar Salad,,15.894776062340949,126.000002,2002,45,1957
Food,Chitarra Cacio e Pepe,,31.131531270661707,166,5160,50,5110
Food,Tagliata di Manzo,,58,20,1160,58,1102
Food,Tiramisu,,16.333332992675366,85.000001,1072,288,784
Food,Cherry Tomato Side,,6,2,12,0,12
Food,Ravioli del Salumiere,,24.94053475935829,78,1970,12,1958
Food,Side Sauce,,3.2916666666666665,26,82.5,5.25,77.25
Food,APP SPECIAL,,20.285714285714285,50,984,18,966
Food,Marinated Olives,,5,31,155,0,155
Food,Broccolini,,8,18,144,0,144
Food,Piccola Selezione,,26,22,572,39,533
Food,NY Steak,,42.25,22,928,66,862
Food,Branzino,,34,38,1292,136,1156
Food,Eggplant Parmigiana,,18.2,32,578,27,551
Food,Bread,,0,65,0,0,0
Food,Fettuccine Nere,,24.053571428571427,90,2166,120,2046
Food,Creamy Spinach,,8,13,104,4,100
Food,PAPPARDELLE,,30.133333333333333,25,772,135,637
Food,Prosciutto di Parma,,14,19,266,7,259
Food,Gelato,,10.3,16,163,18,145
Food,Cavatelli Pomodoro,,21.568910256410255,90,1920.5,31.5,1889
Food,Crucolo,,13.997854147148848,17.000002,237.98,14,223.98
Food,Panettone Special Dessert,,14,13,182,28,154
Food,Ossobuco,,36.125,39,1405,90,1315
Food,Special Fish,,38,14,532,76,456
Food,Salame Cioccolato,,12.0000015000015,9.999999,120,12,108
Food,Almond cake,,12.142857142857142,19,229,12,217
Food,Ribeye,,48.29365079365079,46,2219,170,2049
Food,Kids Polpette,,14,10,140,0,140
Food,Side Blk Pepper Honey,,3,5,15,0,15
Food,Roasted Asparagus,,8.333333333333334,11,90,4,86
Food,Parma e Bufala Caprese,,28.166666666666668,36,1009,0,1009
Food,Lemon Pannacotta,,12.142857142857142,19,229,18,211
