Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
Food,,,,23.76,1052.999993,25022.47,396,24626.47,
Food,Dessert Trio,,,26,7,182,26,156,
Food,Classic Caesar Salad,,,16.627525252525253,52,858,0,858,
Food,Chitarra Cacio e Pepe,,,32.456280193236715,71,2293,0,2293,
Food,Tagliata di Manzo,,,58,3,174,0,174,
Food,Tiramisu,,,12.333333333333334,37,446,84,362,
Food,Ravioli del Salumiere,,,24.352941176470587,41,1008,0,1008,
Food,Side Sauce,,,3.5,8,29,0,29,
Food,APP SPECIAL,,,21.1995010995011,25.999999,523.99,0,523.99,
Food,Piccola Selezione,,,26,11,286,26,260,
Food,Finocchiona,,,12.000006000006,1.999999,24,0,24,
Food,Broccolini,,,8,13,104,0,104,
Food,Marinated Olives,,,6.25,12,73,0,73,
Food,NY Steak,,,48.5,12,584,48,536,
Food,Taleggio,,,14,1,14,0,14,
Food,Branzino,,,34.25,11,375,0,375,
Food,Eggplant Parmigiana,,,18.5,11,200,0,200,
Food,Pandoro Special Dessert,,,12.5,3,38,12,26,
Food,Bread,,,0,36,0,0,0,
Food,Fettuccine Nere,,,26.4,40,1042,26,1016,
Food,Prosciutto di Parma,,,14,5,70,0,70,
Food,Gelato,,,10,5,50,0,50,
Food,Crucolo,,,14,2,28,0,28,
Food,Cavatelli Pomodoro,,,22.35185185185185,29,649,0,649,
Food,Ossobuco,,,38,24,912,38,874,
Food,Special Fish,,,39.666666666666664,13,525,42,483,
Food,Salame Cioccolato,,,12,10,120,0,120,
Food,Almond cake,,,12.285714285714286,14,170,0,170,
Food,Ribeye,,,58.111111111111114,22,1280,0,1280,
Food,Kids Polpette,,,14,4,56,0,56,
Food,Parmigiano,,,14.333333333333334,5,71,0,71,
Food,BUCATINI,,,28,14,392,0,392,
Food,Verde del Contadino,,,14.25,14,197,0,197,
Food,Roasted Asparagus,,,8.25,9,73,0,73,
Food,Parma e Bufala Caprese,,,27.99846584461969,16.999998,475.98,0,475.98,
Food,Lemon Pannacotta,,,12,8,96,12,84,
Food,Giardiniera,,,6.00000225000225,3.999999,24,0,24,
Food,Mashed Potatoes,,,8,4,32,8,24,
Food,Kids Pasta,,,12,12,144,0,144,
Food,Brie,,,14,2,28,0,28,
Food,Burratina,,,18,18,324,0,324,
Food,Kids Milanese,,,16,1,16,0,16,
Food,Pasta,,,20,3,60,0,60,
Food,Grande Selezione,,,34,2,68,0,68,
Food,Pecorino Toscano,,,14,3,42,0,42,
Food,Mortadella,,,12,1,12,0,12,
Food,SOUP,,,12,9,108,0,108,
Food,Gorgonzola,,,14.5,2,29,0,29,
Food,Lasagna del Salumiere,,,22.333333333333332,41,906,0,906,
Food,Tagliatelle Bolognese,,,22.529166666666665,56,1257.5,0,1257.5,
Food,Spaghetti Alla Bottarga,,,29,5,145,0,145,
Food,Mixed Exotic Mushroom,,,10.25,11,111,0,111,
Food,Calamari,,,22,33,726,0,726,
Food,Percorino al Tartufo,,,14.001669001669002,9.999999,140.01,0,140.01,
Food,Angelo's Meatballs,,,18.25,45,812,0,812,
Food,Tagliolini al Limone,,,29.32608695652174,56,1654,0,1654,
Food,Salame Nostrano,,,12.5,2,25,0,25,
Food,Cheese Selection,,,29,10,290,0,290,
Food,Piovra,,,22,15,330,22,308,
Food,Trio di Prosciutti,,,27.998337998338,7.999999,223.99,0,223.99,
Food,Filet Mignon,,,52,14,728,52,676,
Food,Prosciutto San Daniele,,,14,5,70,0,70,
Food,Vitello Tonnato,,,22.25,8,177,0,177,
Food,Pork Milanese,,,34.25,15,511,0,511,
Food,Lamb Chop,,,42.72222222222222,13,555,0,555,
Food,Kids Ice cream,,,4,2,8,0,8,
Food,Red wine special,,,42,7,336,0,336,
Food,LAMB SHANK,,,53,18,884,0,884,
Food,Side Blk Pepper Honey,,,3,1,3,0,3,
Food,Shrimp Skewers,,,34.611111111111114,11,380,0,380,
Food,Tagliolini Winter Truffle,,,59.25,5,330,0,330,
Food,Fingerling Potatoes,,,8,1,8,0,8,
Food,Bresaola,,,14,1,14,0,14,
Food,Coppa Dolce,,,12,2,24,0,24,
Food,Speck,,,12,1,12,0,12,
Food,CANNOLI,,,14,4,56,0,56,
Liquor,,,,14.17,682,9662,272.5,9389.5,
Liquor,Blood Orange Mule,,,13,13,169,0,169,
Liquor,Smoky 'n' Hot,,,13,14,182,0,182,
Liquor,TITOS,,,10.333333333333334,49,469,4.5,464.5,
Liquor,Angelo Spritz,,,14,8,112,0,112,
Liquor,BASIL HAYDENS,,,15.5,5,77,8,69,
Liquor,First Coast Martini,,,14,19,266,0,266,
Liquor,BEEFEATER,,,10,8,80,0,80,
Liquor,LIMONCELLO,,,9,6,51,16,35,
Liquor,NEGRONI,,,12.866666666666667,14,180,6.5,173.5,
Liquor,CAMPARI APERITIVO,,,12,3,36,6,30,
Liquor,CASAMIGOS REPO,,,21,4,84,0,84,
Liquor,Spritz on the beach,,,14,2,28,0,28,
Liquor,FERNET BRANCA,,,10,4,40,0,40,
Liquor,MARTINI,,,14.597575757575758,104,1515,7,1508,
Liquor,Buffalo Trace,,,12.444444444444445,8,101,14,87,
Liquor,Grapfruit Basil'tini,,,15,20,300,0,300,
Liquor,Paper Plane,,,15,9,135,0,135,
Liquor,Lavender Gimlet,,,14,17,238,0,238,
Liquor,Dry Daquiri,,,14,5,70,0,70,
Liquor,Henry McKenna,,,16,2,32,0,32,
Liquor,Michter's American Whiskey,,,18,4,72,0,72,
Liquor,WOODFORD RSV,,,11.666666666666666,8,100,0,100,
Liquor,JACK DANIELS,,,9,2,18,0,18,
Liquor,Montenegro NY Sour,,,14,4,56,0,56,
