Sales Category,Item Name,Modifier,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
NA Beverage,San Pellegrino,,7.142857142857143,25,176,0,176
NA Beverage,Fresh Lemonade,,5,8,40,0,40
NA Beverage,Diet Coke (can),,4.642857142857143,19,87.5,0,87.5
NA Beverage,Club Soda,,4.5,3,13.5,0,13.5
NA Beverage,Mocktail,,8,5,40,0,40
NA Beverage,Ice tea,,4.5,10,45,0,45
NA Beverage,Aranciata San Pellegrino,,5.5,1,5.5,0,5.5
NA Beverage,Shirley Temple,,5.5,6,33,0,33
NA Beverage,Ginger Ale,,4.5,3,13.5,0,13.5
NA Beverage,Ginger Beer,,4.5,1,4.5,0,4.5
NA Beverage,Sprite (can),,4.5,2,9,0,9
Coffee,Coffee Total,,4.03,29,117,0,117
Coffee,Espresso,,4,10,40,0,40
Coffee,DBL Espresso,,5,5,25,0,25
Coffee,Americano,,3,9,27,0,27
Coffee,Hot tea,,3.5,2,7,0,7
Coffee,Cappuccino,,6,1,6,0,6
Coffee,Latte,,6,2,12,0,12
Beer,Beer Total,,7.48,151,1130,56,1074
Beer,Menabrea,,7,58,406,7,399
Beer,GRN Room choc Porter,,8,16,128,0,128
Beer,Raging Blonde,,8,31,248,0,248
Beer,Southern Swells,,9,24,216,9,207
Beer,High Head GRN Room,,8,8,64,0,64
Beer,NA Peroni,,7,4,28,0,28
Beer,HH Manabrea,,4,10,40,40,0
Retail,Retail Total,,6.5,2,13,0,13
Retail,MULINO BIANCO,,6,1,6,0,6
Retail,GENTILE PASTA,,7,1,7,0,7
Food: Deli To Go (No Tax),Food: Deli To Go (No Tax) Total,,16,0.25,4,0,4
Food: Deli To Go (No Tax),DELI Mortadella,,16,0.25,4,0,4
